#{"t_start": 1787664758.3272314, "env_id": "None"}
r,l,t
-6.791201,40,26.648324
1.68834,39,26.729955
1.116045,59,26.850658
4.711907,32,26.916159
9.814915,47,27.559509
1.849129,29,27.62073
3.969435,48,27.714155
5.983004,64,27.848749
4.360135,30,27.9105
3.698045,36,27.981685
15.344544,47,28.077394
-0.570997,38,28.158927
4.49391,28,28.219551
6.999788,36,28.28757
7.462448,34,28.358558
4.749081,117,28.604867
0.472532,40,28.69909
3.194902,32,28.767485
3.082937,33,28.838582
8.989192,71,28.988294
5.169688,41,29.078532
0.257524,42,29.16576
2.558122,37,29.238787
3.09776,33,29.308874
5.080556,38,29.384027
5.373833,41,29.462188
7.8594,44,29.551978
4.085942,33,29.625283
6.134256,35,29.701918
6.999905,35,29.779395
6.737065,61,29.923129
7.874675,37,30.011685
10.25215,115,30.283365
22.128237,77,30.465605
4.994974,33,30.539732
1.611601,33,30.606931
6.533079,37,30.690114
2.484864,42,30.780243
20.413086,81,30.938823
16.79886,57,31.05839
3.828429,50,31.16051
2.229608,53,31.267655
6.449016,32,31.330499
8.95224,38,31.410755
3.641799,65,31.548979
6.328964,42,31.634283
40.153763,117,32.409419
2.720247,29,32.467969
20.531293,65,32.600015
5.800814,50,32.700373
15.783817,53,32.805942
-1.240343,66,32.937619
6.084499,32,33.004722
2.26006,45,33.094737
8.227579,40,33.174697
-0.047723,26,33.226379
-0.164292,50,33.328312
11.517433,122,33.569874
12.386303,47,33.669583
30.475611,67,33.810876
4.400258,38,33.885416
22.781555,162,34.224724
9.416054,78,34.386711
26.927905,116,34.646847
1.29831,41,34.730673
5.442789,111,34.96962
8.004918,38,35.046608
0.726356,39,35.131573
33.809019,174,35.495745
4.163102,31,35.558769
11.612684,84,35.733356
6.877273,41,35.818911
8.889912,51,35.927308
27.420714,115,36.168245
3.879814,48,36.269548
4.848211,45,36.363105
3.052395,37,36.440227
81.527414,200,37.408535
55.613087,200,37.834067
3.639043,36,37.907717
23.824802,109,38.133407
19.993088,68,38.265172
16.603481,84,38.426641
16.199281,78,38.582022
17.121621,169,38.913316
9.51348,69,39.047513
1.96621,36,39.120892
7.310303,81,39.275806
25.233413,65,39.408113
31.903538,74,39.554702
11.508126,86,39.724358
12.178409,79,39.878386
65.945244,128,40.133831
10.383659,154,40.432479
21.353259,200,40.839178
-0.683525,67,40.976288
10.409291,51,41.079869
32.597702,198,42.056822
17.148617,171,42.389915
31.892497,72,42.530784
81.575909,200,42.926007
54.715468,174,43.26353
16.709689,72,43.401706
