time_s,desired_position_rad,desired_velocity_rad_s,desired_acceleration_rad_s2,actual_position_rad,actual_velocity_rad_s,position_error_rad,feedback_component,model_component,command_torque_Nm,gravity_torque_Nm,dynamic_bias_Nm,virtual_acceleration_rad_s2
0.002,-0.5,0.7853981633974483,-0.0,-0.5003346986560782,-0.16734932803907795,0.0003346986560781584,37.159091168795435,37.159091168795435,57.991288338105605,20.832197169310167,20.832197169310167,12.566370614359172
0.004,-0.4984292140086103,0.7853826603101113,-0.015503036333789666,-0.5007379187946335,-0.2016100692776675,0.0023087047860231857,45.436672491148336,45.390829601566345,66.22302677087652,20.834372309603207,20.832197169310167,15.350159794691182
0.006,-0.4968584900291618,0.7853361516601358,-0.031005460634250324,-0.501168259186657,-0.21517019601176213,0.004309769157495147,47.44012324531754,47.34841777212389,68.21148938464069,20.83605968621685,20.863071612516798,16.008417515360787
0.008,-0.49528789007114793,0.7852586392836037,-0.046506660892214995,-0.5016093353320152,-0.2205380726791481,0.006321445260867309,48.48188704672659,48.34426252930573,69.02710571500798,20.83654725556447,20.682843185702243,16.336698327226216
0.01,-0.4937174761391656,0.7851501262405708,-0.062006025146839804,-0.5020465241079699,-0.21859438797733868,0.008329047968804293,49.14817004598749,48.96454350284499,69.22664053282422,20.83547820065241,20.262097029979234,16.534084145911038
0.012,-0.4921473102304679,0.7850106168149463,-0.07750294150976313,-0.5024680354404822,-0.210755666256175,0.010320725210014314,49.47553039388663,49.24579902044643,68.99702330694912,20.8325498984397,19.751224286502687,16.613726823326925
0.014,-0.49057745433251637,0.7848401165143234,-0.09299679818926194,-0.5028643007801655,-0.19813266984162486,0.012286846447649158,49.52627540092254,49.25032340196828,68.50954488855817,20.82754101377147,19.25922148658988,16.59753291704853
0.016,-0.4890079704205338,0.784638632069762,-0.10848698351440426,-0.5032269850287403,-0.18134212428738697,0.014219014608206515,49.348984998184015,49.026687997696534,67.85433966720339,20.8202879969223,18.827651669506853,16.502658990084218
0.018000000000000002,-0.4874389204550576,0.7844061714355232,-0.12397288595919691,-0.5035487740599444,-0.160894515602036,0.01610985360488676,48.969335651284744,48.60056399008721,67.07137563377876,20.810653336677227,18.470811643691555,16.33843597832306
0.020000000000000004,-0.4858703663794939,0.7841427437887544,-0.1394538941667275,-0.5038660204512936,-0.15862319567463115,0.017995654071799705,48.408279147504004,47.99290152497731,66.19918185231347,20.798518042137744,18.206280327336152,16.112560347634748
0.022000000000000006,-0.48430237011767163,0.7838483595291283,-0.15492939697329963,-0.504157531422757,-0.14575548573172084,0.019855161305085356,48.71284481780308,48.25073191268318,66.2968519324389,20.78424208919477,18.046120019755712,16.17668910763866
0.024000000000000007,-0.48273499357139854,0.7835230302784315,-0.17039878343256096,-0.5044064035512345,-0.12443606423873946,0.02167140997983591,48.5074370655788,47.99845532747421,66.04598985848052,20.767524744282213,18.04753453100631,16.069099895216816
0.02600000000000001,-0.4811682986180168,0.7831667688801055,-0.1858614428396218,-0.5045994964460438,-0.0965464474046763,0.02343119782802705,47.88813383517858,47.332157689425046,65.45038774464471,20.7481354287384,18.118230055219666,15.823022602787827
0.02800000000000001,-0.4796023471079606,0.7827795893987404,-0.20131676475516505,-0.5047268388519486,-0.06367120295238082,0.025124491743987953,46.9398123676217,46.336726620554145,64.5845009569529,20.725907837510675,18.24777433639874,15.46771738173683
0.030000000000000013,-0.4780372008623142,0.7823615071195192,-0.21676413902954533,-0.5047811123536573,-0.027136750854361173,0.026743911491343086,45.73439496459314,45.08409665532529,63.50815362941172,20.700729823634077,18.424056974086437,15.027896053457455
0.032000000000000015,-0.4764729216703714,0.7819125385476144,-0.23220295582687636,-0.5047572069705087,0.011952691574282054,0.028284285300137324,44.33254046154855,43.63494021885064,62.26919469405952,20.672534763914665,18.634254475208884,14.52430987833503
0.034000000000000016,-0.47490957128719624,0.7814327014075365,-0.24763260564910652,-0.504651840231891,0.052683369308883156,0.029742268944694783,42.785199867038344,42.04022282175172,60.905834596882016,20.641294211928265,18.865611775130297,13.974296235414965
0.03600000000000002,-0.473347211431185,0.7809220146424342,-0.2630524793600805,-0.5044636427939204,0.09409871898527963,0.031116431362735397,41.13497937879172,40.34256568083759,59.4486667327856,20.607011631466158,19.10610105194801,13.39226208922192
0.03800000000000002,-0.47178590378162955,0.7803804984133462,-0.27846196820958746,-0.5041923792446114,0.13563177465455245,0.03240647546298181,39.42732300292569,38.587427991633405,57.93235806360936,20.56973527486998,19.34493007197595,12.793421799426094
0.04000000000000002,-0.47022570997628255,0.7798081740984065,-0.29386046385739273,-0.5038386766188073,0.1768513129020254,0.03361296664252478,37.68956113075522,36.80215245344246,56.361386858414306,20.529532553752034,19.55923440497185,12.186828760417317
0.04200000000000002,-0.46866669160892394,0.7792050642919989,-0.3092473583972546,-0.5034038496867879,0.21741346600973432,0.03473715807786393,35.942835569980126,35.007892493978304,54.75423713520844,20.48648393507483,19.746344641230134,11.579419704474859
0.044000000000000025,-0.46710891022692935,0.7785711928038657,-0.3246220443809232,-0.5028897515373417,0.2570490747230631,0.03578084131041237,34.204321982297884,33.221835107210374,53.12876894369902,20.440679973953202,19.906933836488648,10.976777709756123
0.04600000000000003,-0.46555242732884045,0.777906584658168,-0.3399839148421217,-0.5022986522698462,0.2955496337477998,0.03674622494100571,32.487772123259305,31.45774304870665,51.499567670609395,20.392218672199494,20.04182462190274,10.383324993463638
0.04800000000000003,-0.4639973043619369,0.7772112660924975,-0.3553323633205078,-0.50163312798086,0.332762144493079,0.03763582361892309,30.804138072630742,29.726579035853703,49.87855086182034,20.34120337161697,20.151971825966633,9.802540020300846
0.05000000000000003,-0.4624436027198107,0.7764852645568404,-0.3706667838856166,-0.5008959777117316,0.3685751345642112,0.038452374991920835,29.16177439939763,28.036707874723657,48.27509716668824,20.28774073097543,20.238389291964587,9.23703275384172
0.05200000000000003,-0.46089138373994226,0.7757286087124945,-0.38598657116078067,-0.500090152536612,0.4029125875597726,0.03919876879666978,27.567078389335645,26.394536717909777,46.696817540622924,20.231939301500653,20.302280822713147,8.688763029406267
0.054000000000000034,-0.4593407087012791,0.7749413284309367,-0.40129112034703024,-0.49921869735090857,0.4357275928517247,0.03987798864962949,26.024755983555927,24.804780995291583,45.149640932245525,20.173908302276214,20.34485993695394,8.159133139052905
