time_s,joint1_position_rad,joint1_velocity_rad_s,position_error_rad,command_torque_Nm
0.002,0.00038327942574479986,0.19163971287239992,0.4996167205742552,20.0
0.004,0.001008379570010342,0.31255007213277114,0.4989916204299897,14.23547743679821
0.006,0.0018069854689720948,0.3993029494808763,0.4981930145310279,10.583162653216453
0.008,0.0027339305410473053,0.46347253603760535,0.4972660694589527,7.948632096814826
0.01,0.003750426418397225,0.5082479386749598,0.49624957358160277,5.986466697229947
0.012,0.004832898967323456,0.5412362744631156,0.4951671010326765,4.6025447830153166
0.014,0.005966464226880137,0.5667826297783405,0.49403353577311987,3.5695958074135916
0.016,0.007140000960103187,0.5867683666115245,0.4928599990398968,2.7578625375745816
0.018000000000000002,0.008344252060757684,0.6021255503272481,0.4916557479392423,2.111348963250137
0.020000000000000004,0.009571498323622755,0.6136231314325354,0.49042850167637725,1.60246340775225
0.022000000000000006,0.01081548950444792,0.6219955904125825,0.48918451049555206,1.2084461240790247
0.024000000000000007,0.012071188846869979,0.6278496712110294,0.48792881115313,0.9075127074446101
0.02600000000000001,0.013334550743663114,0.6316809483965673,0.48666544925633687,0.6816623097943193
0.02800000000000001,0.014602338131296137,0.6338936938165115,0.48539766186870387,0.5161895183564553
0.030000000000000013,0.015871975010171596,0.6348184394377304,0.48412802498982843,0.3990956602528115
0.032000000000000015,0.01714142776073454,0.6347263752814714,0.4828585722392655,0.32056781646122445
0.034000000000000016,0.018409109396705498,0.6338408179854803,0.4815908906032945,0.2725516311264755
0.03600000000000002,0.0196739603207862,0.6324254620403517,0.4803260396792138,0.24841108456736904
0.03800000000000002,0.02093519613856641,0.6306179088901064,0.4790648038614336,0.240277725958002
0.04000000000000002,0.022192210208269593,0.62850703485159,0.4778077897917304,0.24405488775415307
0.04200000000000002,0.023444554193652076,0.626171992691242,0.4765554458063479,0.2571005461215172
0.044000000000000025,0.02469122053643838,0.623333171393151,0.47530877946356165,0.2770580515166543
0.04600000000000003,0.02593288498027442,0.6208322219180199,0.4740671150197256,0.31235603674793566
0.04800000000000003,0.02716943687648172,0.6182759481036484,0.4728305631235183,0.3377179432484283
0.05000000000000003,0.02840082731958154,0.6156952215499091,0.47159917268041845,0.364944081831279
0.05200000000000003,0.029627087634681096,0.6131301575497785,0.4703729123653189,0.3931102607194674
0.054000000000000034,0.0308483146476386,0.6106135064787523,0.4691516853523614,0.4210117681194028
0.056000000000000036,0.03206533741839985,0.6085113853806251,0.46793466258160016,0.4476622197318889
0.05800000000000004,0.03328288669347199,0.6087746375360726,0.466717113306528,0.462044941845253
0.06000000000000004,0.03450053117497848,0.6088222407532438,0.4654994688250215,0.4054454061789379
0.06200000000000004,0.03571771578706427,0.6085923060428983,0.4642822842129357,0.35531153040354724
0.06400000000000004,0.03693403414269006,0.6081591778128931,0.46306596585730997,0.313522187230479
0.06600000000000004,0.038140453977794586,0.6032099175522626,0.4618595460222054,0.2778632999056079
0.06800000000000005,0.03933768880453932,0.5986174133723673,0.4606623111954607,0.37808431432033984
0.07000000000000005,0.04052734400726613,0.5948276013634073,0.45947265599273385,0.4679700466474088
0.07200000000000005,0.04171160499583329,0.5921304942835807,0.45828839500416674,0.534078198807137
0.07400000000000005,0.04289151481078849,0.5899549074776007,0.4571084851892115,0.5676209716592489
0.07600000000000005,0.0440678163294215,0.588150759316506,0.45593218367057853,0.5856921832404396
0.07800000000000006,0.04524101501027847,0.586599340428485,0.45475898498972156,0.5927645673279613
0.08000000000000006,0.046411441820175627,0.5852134049485793,0.45358855817982435,0.5923791867343127
0.08200000000000006,0.04757930511228857,0.5839316460564727,0.4524206948877114,0.587140178735595
0.08400000000000006,0.0487447295768977,0.5827122323045621,0.4512552704231023,0.5788784138142731
0.08600000000000006,0.04990778424610975,0.5815273346060267,0.45009221575389025,0.5688438477872282
0.08800000000000006,0.05106850216075957,0.58035895732491,0.4489314978392404,0.5578685919748061
0.09000000000000007,0.05222296637954262,0.5772321093915287,0.4477770336204574,0.5464911938223125
0.09200000000000007,0.05337197464677388,0.5745041336156289,0.4466280253532261,0.5941180630724361
0.09400000000000007,0.05451638583759299,0.572205595409554,0.445483614162407,0.6299970056601794
0.09600000000000007,0.055656917802999625,0.5702659827033181,0.44434308219700036,0.6531767042096597
0.09800000000000007,0.056794160203858225,0.5686212004292996,0.44320583979614175,0.6657438067804726
0.10000000000000007,0.057928557334321264,0.5671985652315179,0.4420714426656787,0.6695975789666804
0.10200000000000008,0.05906041815506271,0.5659304103707241,0.4409395818449373,0.6669007496816128
0.10400000000000008,0.0601899396269326,0.5647607359349475,0.4398100603730674,0.6596709626757686
0.10600000000000008,0.06131723352954243,0.5636469513049157,0.43868276647045756,0.6495803368742727
0.10800000000000008,0.062442351318403075,0.5625588944303241,0.4375576486815969,0.6379021196708337
0.11000000000000008,0.06356530455320628,0.5614766174015994,0.4364346954467937,0.6255391143541544
0.11200000000000009,0.06468608031723772,0.5603878820157184,0.4353139196827623,0.6130892958237659
0.11400000000000009,0.06580465207360815,0.559285878185221,0.43419534792639186,0.6009203268389385
0.11600000000000009,0.06692098683399243,0.5581673801921384,0.43307901316600755,0.5892375714990443
0.11800000000000009,0.06803504959338155,0.5570313796945614,0.4319649504066184,0.5781391208761484
0.12000000000000009,0.06914652427358974,0.5557373401040903,0.43085347572641025,0.5676566254278939
