time_s,desired_position_rad,desired_velocity_rad_s,desired_acceleration_rad_s2,actual_position_rad,actual_velocity_rad_s,position_error_rad,pd_torque_Nm,feedforward_torque_Nm,command_torque_Nm,gravity_torque_Nm,inertia_feedforward_Nm,dynamic_bias_Nm
0.002,-0.5,0.7853981633974483,-0.0,-0.5004169927994864,-0.20849639974319914,0.0004169927994863709,15.707963267948966,20.832197169310167,36.54016043725913,20.832197169310167,0.0,20.832197169310167
0.004,-0.4984292140086103,0.7853826603101113,-0.015503036333789666,-0.5009136052419161,-0.24830622121483487,0.002484391233305794,20.275136959241422,20.786354279728176,41.061491238969595,20.836307964139102,-0.04584288958199055,20.832197169310167
0.006,-0.4968584900291618,0.7853361516601358,-0.031005460634250324,-0.5014702595223833,-0.2783271402336279,0.004611769493221507,21.483870500050262,20.77606649790835,42.25993699795861,20.841259296931653,-0.09170758878544281,20.867774086693792
0.008,-0.49528789007114793,0.7852586392836037,-0.046506660892214995,-0.5020706090489082,-0.30017476326241876,0.0067827189777602825,22.508189480591714,20.539614493783883,43.0478039743756,20.846619895959563,-0.13762945020692777,20.67724394399081
0.01,-0.4937174761391656,0.7851501262405708,-0.062006025146839804,-0.5026997624862254,-0.3145767186585977,0.008982286347059776,23.37712437200831,20.05283582478454,43.42996019679285,20.852034751884574,-0.18363534528092665,20.236471170065467
0.012,-0.4921473102304679,0.7850106168149463,-0.07750294150976313,-0.5033454427270705,-0.32284012042255034,0.011198132496602564,24.102237160622373,19.467250048502507,43.56948720912488,20.85718978358488,-0.22974500180197843,19.696995050304483
0.014,-0.49057745433251637,0.7848401165143234,-0.09299679818926194,-0.5039973228487568,-0.3259400608431538,0.013419868516240385,24.707202417648297,18.895736432155424,43.60293884980372,20.861842003795477,-0.27597131055855784,19.17170774271398
0.016,-0.4890079704205338,0.784638632069762,-0.10848698351440426,-0.5046461422805057,-0.3244097158745181,0.01563817185997196,25.20944434390291,18.381270594770236,43.590714938673145,20.865795071532112,-0.32232282614832436,18.70359342091856
0.018000000000000002,-0.4874389204550576,0.7844061714355232,-0.12397288595919691,-0.5053307435520129,-0.34230063575360087,0.017891823096955306,25.617762111290457,17.94145170302248,43.55921381431294,20.868871089547387,-0.36880474833856264,18.31025645136104
0.020000000000000004,-0.4858703663794939,0.7841427437887544,-0.1394538941667275,-0.5060272238114684,-0.3482401297277024,0.020156857431974484,26.42094302535091,17.59597144515811,44.01691447050902,20.871409404757745,-0.41541862739326274,18.01139007255137
0.022000000000000006,-0.48430237011767163,0.7838483595291283,-0.15492939697329963,-0.5067158291555535,-0.34430267204253906,0.022413459037881833,26.986740523895964,17.425723771014543,44.41246429491051,20.87305765427814,-0.46217121836630876,17.88789498938085
0.024000000000000007,-0.48273499357139854,0.7835230302784315,-0.17039878343256096,-0.5073805154760096,-0.3323431602280468,0.024645521904611056,27.352681163250395,17.337916389462478,44.69059755271287,20.873518144924827,-0.5090571624627764,17.846973551925256
0.02600000000000001,-0.4811682986180168,0.7831667688801055,-0.1858614428396218,-0.5080084087721449,-0.3139466480676386,0.026840110154128127,27.552641953761608,17.32670967546661,44.87935162922822,20.8725458092227,-0.5560681864891939,17.882777861955805
0.02800000000000001,-0.4796023471079606,0.7827795893987404,-0.20131676475516505,-0.5085893285065798,-0.2904598672174291,0.02898698139861916,27.61573708216444,17.38298776282031,44.99872484498475,20.86994098137881,-0.6031936895664054,17.986181452386717
0.030000000000000013,-0.4780372008623142,0.7823615071195192,-0.21676413902954533,-0.5091153726769394,-0.26302208517979125,0.03107817181462519,27.56685301559208,17.49545343476843,45.06230645036051,20.86554320203299,-0.6504212723498816,18.14587470711831
0.032000000000000015,-0.4764729216703714,0.7819125385476144,-0.23220295582687636,-0.5095805584829928,-0.2325929030267073,0.033107636812621355,27.427182675861708,17.65158813710222,45.078770812963924,20.859225946118336,-0.6977372182028013,18.34932535530502
0.034000000000000016,-0.47490957128719624,0.7814327014075365,-0.24763260564910652,-0.509980540278181,-0.1999908975941066,0.03507096899098472,27.214709527844178,17.838529775562826,45.053239303407004,20.850892122351265,-0.7451269281930626,18.58365670375589
0.03600000000000002,-0.473347211431185,0.7809220146424342,-0.2630524793600805,-0.5103127671320894,-0.16611342695423387,0.03696555570090437,26.944924014130002,18.043821363639747,44.988745377769746,20.840471446299148,-0.7925753099493162,18.836396673589064
0.03800000000000002,-0.47178590378162955,0.7803804984133462,-0.27846196820958746,-0.5105756293114895,-0.1314310897000618,0.03878972552985993,26.63525117744357,18.2549365338312,44.89018771127477,20.827936394834904,-0.8400672933313359,19.095003827162536
0.04000000000000002,-0.47022570997628255,0.7798081740984065,-0.29386046385739273,-0.5107683174658301,-0.09634407717027513,0.04054260748954752,26.294769143010754,18.44552870899572,44.74029785200648,20.81327256375338,-0.8875910424862171,19.333119751481938
0.04200000000000002,-0.46866669160892394,0.7792050642919989,-0.3092473583972546,-0.5108906729450028,-0.0611777395863607,0.04222398133607885,25.931308000626707,18.615336545796417,44.546644546423124,20.79647777270982,-0.9351349415344309,19.55047148733085
0.044000000000000025,-0.46710891022692935,0.7785711928038657,-0.3246220443809232,-0.5109430622039371,-0.02619462946720101,0.043834151977007796,25.551331191419216,18.764229928857564,44.31556112027678,20.77755989693525,-0.9826876565900043,19.74691758544757
0.04600000000000003,-0.46555242732884045,0.777906584658168,-0.3399839148421217,-0.5109262746758924,0.008393764022403417,0.04537384734705191,25.16015125752672,18.89225013283413,44.05240139036085,20.756535038070833,-1.0302381801420322,19.92248831297616
0.04800000000000003,-0.4639973043619369,0.7772112660924975,-0.3553323633205078,-0.5108414260638489,0.04242430602174348,0.046844121701911934,24.76214410419297,18.999603172362086,43.761747276555056,20.733426077370034,-1.0777758618032163,20.077379034165304
0.05000000000000003,-0.4624436027198107,0.7764852645568404,-0.3706667838856166,-0.5106898870918019,0.07576948602349422,0.04824628437199113,24.360783839509565,19.086582427817696,43.44736626732726,20.70826113540407,-1.1252904496587723,20.21187287747647
0.05200000000000003,-0.46089138373994226,0.7757286087124945,-0.38598657116078067,-0.5104732213550837,0.10833286835911295,0.0495818376151414,23.958883124151924,19.153751836774276,43.1126349609262,20.681072544091098,-1.1727720573186091,20.326523894092887
0.054000000000000034,-0.4593407087012791,0.7749413284309367,-0.40129112034703024,-0.5101931336602517,0.1400438474160059,0.050852424958972575,23.558671732197393,19.201730371438543,42.76040210363594,20.65189591284237,-1.22021117399666,20.421941545435203
0.056000000000000036,-0.4577916388218165,0.7741234547926445,-0.416579827246969,-0.5098514264245211,0.17085361786530917,0.05205978760270458,23.161891115219802,19.2312091482973,42.3931002635171,20.6207693495766,-1.267598658333244,20.498807806630545
0.05800000000000004,-0.45624423525618096,0.7732750200858688,-0.4318520882886269,-0.5094498555399518,0.20078544228461098,0.05320562028377085,22.769866278079217,19.242929671105454,42.01279594918467,20.587732778118447,-1.3149257280682003,20.557855399173654
0.06000000000000004,-0.45469855909321566,0.7723960578053589,-0.4471073005492885,-0.5089902578202372,0.22979885985730958,0.05429169872702155,22.382471599762187,19.237675132250754,41.62014673201294,20.55282295387893,-1.3621839380086498,20.599859070259402
0.06200000000000004,-0.4531546713535688,0.7714866026510409,-0.4623448617792946,-0.508474722639949,0.2577675901441288,0.05532005128638018,22.000872149208305,19.21734883529497,41.218220984503276,20.516078849988418,-1.4093639870061843,20.626712822301155
0.06400000000000004,-0.45161263298728493,0.7705466905266468,-0.4775641704258189,-0.5079057730188835,0.28447481053270346,0.056293140031598576,21.627999938183166,19.181798393789663,40.80979833197283,20.477559259389157,-1.4564570101837353,20.6382554039734
0.06600000000000004,-0.4500725048713982,0.769576358538298,-0.49276462565661566,-0.507302509102268,0.30163195830774553,0.057230004230869824,21.268684589608952,19.12865017085822,40.397334760467174,20.437336019083453,-1.5034593103258684,20.632109481184088
0.06800000000000005,-0.44853434780752965,0.7685756449930398,-0.5079456273837397,-0.5066644357878981,0.3190366571849777,0.05813008798036845,21.092505992653564,19.059576905033797,40.152082897687364,20.395644661416867,-1.5503718075856596,20.609948712619456
0.07000000000000005,-0.4469982225194863,0.7675445893973297,-0.5231065762872368,-0.5059918951314827,0.33627032820772385,0.058993672611996395,20.903401297929406,18.98845649162189,39.891857789551295,20.352459952857025,-1.5972046972526706,20.58566118887456
0.07200000000000005,-0.4454641896508643,0.7664832324554769,-0.538246873838804,-0.5052846228525183,0.3536361394821698,0.05982043320165398,20.709799181078736,18.908869977347027,39.61866915842576,20.307854942652884,-1.6439429223120938,20.55281289965912
0.07400000000000005,-0.4439323097626547,0.7653916160680364,-0.5533659223254184,-0.5045428513823083,0.37088573510504724,0.06061054161965357,20.505572149690053,18.81918740367298,39.32475955336304,20.261805352004224,-1.6905981860074868,20.50978558968047
0.07600000000000005,-0.44240264333085233,0.7642697833301538,-0.5684631248729335,-0.5037642076277813,0.3893218772634823,0.06136156429692896,20.295722574793317,18.721786831056235,39.01750940584955,20.214359715925298,-1.7371545851721675,20.458941416228402
0.07800000000000006,-0.4408752507440688,0.7631177785298648,-0.5835378854696435,-0.5029488334599794,0.4076870839009223,0.062073582715910625,20.053709402070147,18.619112142065443,38.67282154413559,20.165402665771246,-1.7836172136740964,20.402729355739538
0.08000000000000006,-0.43935019230114813,0.7619356471463465,-0.5985896089898118,-0.5020969138986622,0.42595978065863876,0.06274672159751404,19.804699496674743,18.49305854682207,38.29775804349681,20.1149542437742,-1.8299355958278543,20.322994142649925
0.08200000000000006,-0.43782752820878623,0.7607234358481215,-0.6136177012171671,-0.501208686840165,0.444113529248611,0.06338115863137872,19.549150241764846,18.350061122755704,37.89921136452055,20.063036791114314,-1.8761017292056434,20.226162851961348
0.08400000000000006,-0.4363073185791544,0.7594811924912165,-0.62862156886836,-0.5002844398397838,0.4621235001905868,0.06397712126062938,19.28762691705422,18.19088528122758,37.4785121982818,20.009674505406103,-1.922107828781962,20.11299311000954
0.08600000000000006,-0.4347896234275257,0.7582089661172721,-0.6436006196163865,-0.49932450513224474,0.47996735376950467,0.06453488170471905,19.02067260098532,18.01628151874567,37.03695411973099,19.95489328865694,-1.9679463144273162,19.984227833172987
0.08800000000000006,-0.4332745026699061,0.756906806951607,-0.6585542621139713,-0.4983361141789891,0.49419547662781105,0.06506161150908302,18.748789556109777,17.82698427227096,36.57577382838073,19.89872061512055,-2.0136098098498985,19.84059408212086
0.09000000000000007,-0.43176201612066867,0.7555747664012353,-0.6734819060169133,-0.49731951576860756,0.5082992051907699,0.06555749964793889,18.54240540713257,17.62371245821172,36.16611786534429,19.841525295031534,-2.059091144566412,19.682803602778133
0.09200000000000007,-0.43025222349019265,0.7542128970528376,-0.6883829620073917,-0.496274838925207,0.5223384217002701,0.06602261543501436,18.331732292924336,17.569149181166722,35.90088147409106,19.78331622236977,-2.104524315422303,19.673673496589025
0.09400000000000007,-0.4287451843825059,0.7528212526706833,-0.7032568418172304,-0.49520227475360545,0.5362820858007866,0.06645709037109954,18.115587527948485,17.50583784903645,35.62142537698493,19.72409521840692,-2.1499052116556068,19.655743060692057
0.09600000000000007,-0.42724095829293196,0.7513998881945103,-0.7181029582511226,-0.4941020589904435,0.5501078815809628,0.06686110069751156,17.89461934000917,17.435098006937945,35.32971734694712,19.663866187964707,-2.1952298721815895,19.630327879119534
0.09800000000000007,-0.42573960460574123,0.7499488597373538,-0.7329207252098124,-0.4929744561709291,0.5638014097572086,0.06723485156518788,17.66931044006828,17.35788524738779,35.02719568745607,19.602634544005152,-2.240494314962569,19.59837956235036
0.10000000000000007,-0.42424118259180643,0.7484682245833333,-0.747709557713232,-0.4918197601703215,0.5773480003038212,0.06757857757851504,17.43999101234703,17.274917974161998,34.71490898650903,19.540406570658,-2.2856944226465834,19.56061239680858
0.10200000000000008,-0.4227457514062631,0.7469580411853889,-0.7624688719235971,-0.49063830084029303,0.5907296650142095,0.06789254943402995,17.207002570443034,17.186659308840078,34.393661879283115,19.47718952445135,-2.3308257319520234,19.517485040792103
0.10400000000000008,-0.42125337008617375,0.7454183691629755,-0.7771980851684545,-0.48943044608048286,0.6039273799050848,0.06817707599430911,16.970760233799176,17.093582664936978,34.06434289873616,19.41299199296589,-2.37588352460921,19.46946618954619
0.10600000000000008,-0.41976409754819755,0.7438492692997084,-0.7918966159636858,-0.4881966009842068,0.6169225481380132,0.06843250343600926,16.731707494349536,16.9962350743563,33.727942568705835,19.347824021681426,-2.4208630469802,19.4170981213365
0.10800000000000008,-0.4182779925862643,0.7422508035409632,-0.8065638840364628,-0.4869372053581515,0.6296978130276495,0.06865921277188719,16.490286787647502,16.89515038213675,33.385437169784254,19.281697097557625,-2.465759642064442,19.360910024201193
