time_s,joint2_position_rad,joint2_velocity_rad_s,position_error_rad,pd_torque_Nm,gravity_comp_torque_Nm,command_torque_Nm
0.002,-0.0005892123142965626,-0.2946061571482813,-0.49941078768570346,-20.0,0.0,-20.0
0.004,-0.0012899582163081675,-0.3503729510058024,-0.4987100417836918,-17.619582250241887,0.0,-17.619582250241887
0.006,-0.0020858363906223754,-0.39793908715710385,-0.4979141636093776,-17.145418063301257,0.0,-17.145418063301257
0.008,-0.002962909631957705,-0.43853662066766486,-0.4970370903680423,-16.733053847118274,0.0,-16.733053847118274
0.01,-0.00390810777861481,-0.4725990733285525,-0.49609189222138517,-16.373190649380373,0.0,-16.373190649380373
0.012,-0.0049098557719333144,-0.5008739966592521,-0.4950901442280667,-16.062883102226987,0.0,-16.062883102226987
0.014,-0.006010235885740374,-0.5501900569035301,-0.4939897641142596,-15.796613795848652,0.0,-15.796613795848652
0.016,-0.007181886961102404,-0.5858255376810151,-0.4928181130388976,-15.358070109342144,0.0,-15.358070109342144
0.018000000000000002,-0.008402125959453012,-0.6101194991753035,-0.491597874040547,-15.026120220107785,0.0,-15.026120220107785
0.020000000000000004,-0.009652171887745378,-0.6250229641461831,-0.49034782811225464,-14.782958968219454,0.0,-14.782958968219454
0.022000000000000006,-0.010916694457297618,-0.6322612847761192,-0.4890833055427024,-14.61372941132072,0.0,-14.61372941132072
0.024000000000000007,-0.012183349740688267,-0.6333276416953251,-0.48781665025931176,-14.50524194349914,0.0,-14.50524194349914
0.02600000000000001,-0.013442363504453249,-0.6295068818824907,-0.48655763649554673,-14.44604487680987,0.0,-14.44604487680987
0.02800000000000001,-0.0146861592018357,-0.6218978486912257,-0.4853138407981643,-14.426250404761944,0.0,-14.426250404761944
0.030000000000000013,-0.015909026553620618,-0.6114336758924583,-0.48409097344637936,-14.437370842396765,0.0,-14.437370842396765
0.032000000000000015,-0.017106827332416828,-0.5989003893981059,-0.4828931726675832,-14.472169530715508,0.0,-14.472169530715508
0.034000000000000016,-0.018276735437371953,-0.5849540524775629,-0.48172326456262804,-14.524523791518483,0.0,-14.524523791518483
0.03600000000000002,-0.01941757644915791,-0.5704205058929781,-0.4805824235508421,-14.589298162684617,0.0,-14.589298162684617
0.03800000000000002,-0.020528896092561318,-0.5556598217017025,-0.4794711039074387,-14.65993289488986,0.0,-14.65993289488986
0.04000000000000002,-0.021610777986908077,-0.54094094717338,-0.4783892220130919,-14.733565582683926,0.0,-14.733565582683926
0.04200000000000002,-0.02266373433600148,-0.5264781745467018,-0.4773362656639985,-14.808041303136637,0.0,-14.808041303136637
0.044000000000000025,-0.023688686714717622,-0.5124761893580706,-0.47631131328528237,-14.881625230186325,0.0,-14.881625230186325
0.04600000000000003,-0.024686649282042478,-0.4989812836624276,-0.47531335071795755,-14.95264301654673,0.0,-14.95264301654673
0.04800000000000003,-0.025658938087117954,-0.4861444025377379,-0.47434106191288206,-15.020683759418882,0.0,-15.020683759418882
0.05000000000000003,-0.026607003112266703,-0.47403251257437523,-0.4733929968877333,-15.084487256213377,0.0,-15.084487256213377
0.05200000000000003,-0.027532388553038675,-0.46269272038598663,-0.4724676114469613,-15.14345977491433,0.0,-15.14345977491433
0.054000000000000034,-0.028436697614843003,-0.4521545309021645,-0.471563302385157,-15.19716269479056,0.0,-15.19716269479056
0.056000000000000036,-0.02932148952649041,-0.442395955823703,-0.4706785104735096,-15.245295848188963,0.0,-15.245295848188963
0.05800000000000004,-0.030187973332133432,-0.43324190282151187,-0.4698120266678666,-15.287972772350761,0.0,-15.287972772350761
0.06000000000000004,-0.031037851875980765,-0.4249392719236668,-0.46896214812401926,-15.326545844142569,0.0,-15.326545844142569
0.06200000000000004,-0.03187295894858422,-0.41755353630172515,-0.4681270410514158,-15.358971749571435,0.0,-15.358971749571435
0.06400000000000004,-0.03269545679063697,-0.41124892102637534,-0.46730454320936304,-15.384653351642829,0.0,-15.384653351642829
0.06600000000000004,-0.03352332984000311,-0.4139365246830714,-0.4664766701599969,-15.40219036016352,0.0,-15.40219036016352
0.06800000000000005,-0.034355814949409834,-0.4162425547033604,-0.4656441850505902,-15.347574608935304,0.0,-15.347574608935304
0.07000000000000005,-0.035192601938358464,-0.41839349447431357,-0.4648073980616415,-15.295826964396726,0.0,-15.295826964396726
0.07200000000000005,-0.03603232388429361,-0.41986097296757136,-0.4639676761157064,-15.245147966671151,0.0,-15.245147966671151
0.07400000000000005,-0.036874653583223074,-0.4211648494647314,-0.46312534641677694,-15.199819260887686,0.0,-15.199819260887686
0.07600000000000005,-0.03771930352880558,-0.4223249727912508,-0.4622806964711944,-15.155695060953226,0.0,-15.155695060953226
0.07800000000000006,-0.03856602416889664,-0.4233603200455297,-0.46143397583110335,-15.112628076517769,0.0,-15.112628076517769
0.08000000000000006,-0.03941460036324243,-0.42428809717289545,-0.4605853996367576,-15.070476472879896,0.0,-15.070476472879896
0.08200000000000006,-0.04026484800029153,-0.4251238185245499,-0.4597351519997085,-15.029111208087139,0.0,-15.029111208087139
0.08400000000000006,-0.04111661091212945,-0.42588145591896154,-0.4588833890878705,-14.988415531791942,0.0,-14.988415531791942
0.08600000000000006,-0.041969758024322415,-0.42657355609647996,-0.4580302419756776,-14.948283916163128,0.0,-14.948283916163128
0.08800000000000006,-0.042824180695326675,-0.4272113355021291,-0.4571758193046733,-14.908621230255264,0.0,-14.908621230255264
0.09000000000000007,-0.04368802149543811,-0.43192040005571664,-0.4563119785045619,-14.869342088169901,0.0,-14.869342088169901
0.09200000000000007,-0.044560980576497364,-0.43647954052962784,-0.4554390194235026,-14.797115939736743,0.0,-14.797115939736743
0.09400000000000007,-0.045442776390832086,-0.44089790716736244,-0.4545572236091679,-14.725724452703082,0.0,-14.725724452703082
0.09600000000000007,-0.04633304483886323,-0.4451342240155729,-0.45366695516113675,-14.655105687027815,0.0,-14.655105687027815
0.09800000000000007,-0.047231416207542384,-0.44918568433957573,-0.4527685837924576,-14.585604414320889,0.0,-14.585604414320889
0.10000000000000007,-0.04813756079847382,-0.4530722954657171,-0.4518624392015262,-14.517257876981699,0.0,-14.517257876981699
0.10200000000000008,-0.04905120879233031,-0.4568239969282475,-0.4509487912076697,-14.44991920433531,0.0,-14.44991920433531
0.10400000000000008,-0.0499721546891511,-0.46047294841039493,-0.4500278453108489,-14.383359672880808,0.0,-14.383359672880808
0.10600000000000008,-0.05090025380998548,-0.464049560417188,-0.4490997461900145,-14.317330225150798,0.0,-14.317330225150798
0.10800000000000008,-0.05183541549533859,-0.46758084267655703,-0.4481645845046614,-14.251593364263076,0.0,-14.251593364263076
0.11000000000000008,-0.05277759552286162,-0.4710900137615123,-0.4472224044771384,-14.185936638774,0.0,-14.185936638774
0.11200000000000009,-0.053726788949221886,-0.47459671318013225,-0.4462732110507781,-14.120176068993436,0.0,-14.120176068993436
0.11400000000000009,-0.054683023848811504,-0.47811744979480814,-0.4453169761511885,-14.054154736590068,0.0,-14.054154736590068
0.11600000000000009,-0.05564645219091935,-0.48171417105392117,-0.44435354780908065,-13.987739447689073,0.0,-13.987739447689073
0.11800000000000009,-0.056617121912530585,-0.48533486080561905,-0.4433828780874694,-13.920428543931857,0.0,-13.920428543931857
0.12000000000000009,-0.05759511222406888,-0.4889951557691451,-0.4424048877759311,-13.852636237053822,0.0,-13.852636237053822
0.1220000000000001,-0.05858052588368992,-0.4927068298105216,-0.4414194741163101,-13.784234264884084,0.0,-13.784234264884084
0.1240000000000001,-0.05957348798164891,-0.49648104897949324,-0.4404265120183511,-13.71512432616823,0.0,-13.71512432616823
0.12600000000000008,-0.060574111192077,-0.5003116052140465,-0.439425888807923,-13.645212088898097,0.0,-13.645212088898097
0.12800000000000009,-0.061582560188401456,-0.5042244981622264,-0.43841743981159853,-13.57454271060455,0.0,-13.57454271060455
0.1300000000000001,-0.06259900528625564,-0.5082225489270971,-0.4374009947137444,-13.50290160716613,0.0,-13.50290160716613
0.1320000000000001,-0.06362362082121488,-0.51230776747962,-0.43637637917878513,-13.430259397133,0.0,-13.430259397133
0.1340000000000001,-0.06465658404085875,-0.5164816098219361,-0.4353434159591413,-13.356593027314446,0.0,-13.356593027314446
0.1360000000000001,-0.06569807076654524,-0.5207433628432488,-0.4343019292334548,-13.281883759790162,0.0,-13.281883759790162
0.1380000000000001,-0.06674811537086843,-0.525022302161591,-0.43325188462913156,-13.2061302665922,0.0,-13.2061302665922
0.1400000000000001,-0.06780661532095202,-0.5292499750417905,-0.432193384679048,-13.129896967872535,0.0,-13.129896967872535
0.1420000000000001,-0.06887342223163977,-0.5334034553438726,-0.4311265777683602,-13.053735586827596,0.0,-13.053735586827596
0.1440000000000001,-0.0699484994272563,-0.5375385978082656,-0.4300515005727437,-12.977835467983429,0.0,-12.977835467983429
0.1460000000000001,-0.07103201180040168,-0.5417561865726921,-0.4289679881995983,-12.901751240443623,0.0,-12.901751240443623
0.1480000000000001,-0.07212424342070882,-0.5461158101535665,-0.42787575657929117,-12.824670035402397,0.0,-12.824670035402397
0.1500000000000001,-0.07322553553219953,-0.550646055745352,-0.4267744644678005,-12.746103781943116,0.0,-12.746103781943116
0.1520000000000001,-0.07431760007580986,-0.5460322718051603,-0.42568239992419016,-12.665810132749204,0.0,-12.665810132749204
0.1540000000000001,-0.07541696577772043,-0.5496828509552866,-0.42458303422227955,-12.659037822526322,0.0,-12.659037822526322
0.1560000000000001,-0.07652800428141532,-0.5555192518474404,-0.4234719957185847,-12.585858561248891,0.0,-12.585858561248891
0.1580000000000001,-0.07765184694893563,-0.5619213337601571,-0.4223481530510644,-12.494725813963864,0.0,-12.494725813963864
0.16000000000000011,-0.07878876305579939,-0.5684580534318776,-0.4212112369442006,-12.398555451961318,0.0,-12.398555451961318
0.16200000000000012,-0.07993879076114983,-0.5750138526752192,-0.42006120923885015,-12.300785050313003,0.0,-12.300785050313003
0.16400000000000012,-0.08110190605257848,-0.5815576457143258,-0.4188980939474215,-12.202337548152254,0.0,-12.202337548152254
0.16600000000000012,-0.08227806785386033,-0.5880809006409182,-0.4177219321461397,-12.103462592182254,0.0,-12.103462592182254
0.16800000000000012,-0.08346723010214395,-0.5945811241418083,-0.41653276989785604,-12.004230080718242,0.0,-12.004230080718242
0.17000000000000012,-0.0846693450195451,-0.6010574587005699,-0.4153306549804549,-11.904661802779774,0.0,-11.904661802779774
0.17200000000000013,-0.0858843640409099,-0.6075095106824038,-0.41411563595909007,-11.804766529613637,0.0,-11.804766529613637
0.17400000000000013,-0.0871122381190673,-0.6139370390787019,-0.4128877618809327,-11.704549352904372,0.0,-11.704549352904372
0.17600000000000013,-0.08835291786415497,-0.6203398725438347,-0.411647082135845,-11.60401416260769,0.0,-11.60401416260769
0.17800000000000013,-0.08960635363677698,-0.626717886311003,-0.410393646363223,-11.503164305083123,0.0,-11.503164305083123
0.18000000000000013,-0.09087249562556818,-0.6330709943955979,-0.4091275043744318,-11.402002764040898,0.0,-11.402002764040898
0.18200000000000013,-0.09215129391651868,-0.639399145475249,-0.40784870608348134,-11.300532219812489,0.0,-11.300532219812489
0.18400000000000014,-0.0934426985556441,-0.6457023195627128,-0.40655730144435587,-11.198755079537262,0.0,-11.198755079537262
0.18600000000000014,-0.09474665960534819,-0.6519805248520383,-0.40525334039465183,-11.096673501272534,0.0,-11.096673501272534
0.18800000000000014,-0.09606312719469291,-0.6582337946723639,-0.4039368728053071,-10.994289416969767,0.0,-10.994289416969767
0.19000000000000014,-0.09739205156388146,-0.6644621845942743,-0.4026079484361185,-10.891604554833371,0.0,-10.891604554833371
0.19200000000000014,-0.09873338310335432,-0.6706657697364271,-0.40126661689664567,-10.788620460690545,0.0,-10.788620460690545
0.19400000000000014,-0.10008707238795872,-0.6768446423022009,-0.3999129276120413,-10.685338517974408,0.0,-10.685338517974408
0.19600000000000015,-0.10145307020667585,-0.6829989093585637,-0.3985469297933242,-10.581759966064045,0.0,-10.581759966064045
0.19800000000000015,-0.10283132758838835,-0.6891286908562516,-0.39716867241161163,-10.477885916864459,0.0,-10.477885916864459
0.20000000000000015,-0.10422179582415143,-0.6952341178815434,-0.3957782041758486,-10.373717369614454,0.0,-10.373717369614454
0.20200000000000015,-0.10562442648640037,-0.701315331124467,-0.39437557351359964,-10.269255223981595,0.0,-10.269255223981595
0.20400000000000015,-0.1070391714454909,-0.7073724795452646,-0.3929608285545091,-10.16450029154825,0.0,-10.16450029154825
