#{"t_start": 1787711273.1771019, "env_id": "None"}
r,l,t
3.595327,48,29.05221
12.487288,67,29.181013
-4.46798,59,29.291654
2.110797,52,29.392337
18.760005,91,29.566707
12.120565,69,29.69893
2.629341,42,29.780009
34.283428,83,29.936807
3.687031,47,30.02636
5.305502,86,30.192757
19.960023,92,30.364244
4.405024,80,30.520396
5.10645,35,30.586391
0.597698,74,30.730201
8.998549,51,30.828023
-3.716486,69,30.958536
4.570072,36,31.028771
11.154986,141,31.294166
-8.263453,45,31.380116
-9.621992,30,31.434938
2.377538,39,31.512681
-0.586239,54,31.616387
2.242168,115,31.836439
0.653999,34,31.902451
3.453116,41,32.635743
0.449101,33,32.697539
11.137093,87,32.867062
6.367727,61,32.982992
1.049116,31,33.046912
2.724542,166,33.359192
10.252573,57,33.472923
11.944121,112,33.687834
5.335175,76,33.829884
20.820901,114,34.047595
25.827673,200,34.429286
54.027269,200,34.813234
18.714051,106,35.016593
3.065061,40,35.099566
58.186096,163,35.417524
47.966798,200,35.802011
17.992822,138,36.061171
8.88024,103,36.261843
-0.135966,49,36.35542
50.987815,200,37.270384
6.203647,126,37.521206
11.08861,75,37.67203
69.631858,200,38.056882
-0.768436,63,38.191203
26.712512,134,38.452428
9.625335,73,38.591932
7.056927,102,38.790907
0.161998,93,38.971978
2.427566,80,39.127421
-1.745373,45,39.215892
8.713524,84,39.377822
26.224009,155,39.676054
-1.508561,59,39.789031
12.062103,106,39.993712
12.335478,60,40.11
0.128325,73,40.249649
15.703476,77,40.396297
54.328347,77,40.552104
17.429693,96,40.738187
0.909221,50,40.839877
10.374437,61,40.957783
47.986104,200,41.898144
71.562389,200,42.280556
8.000069,55,42.387074
71.197886,200,42.764982
127.492752,200,43.138433
23.778055,200,43.522063
48.452523,200,43.909828
30.698531,200,44.312978
37.239854,200,44.700227
88.981862,200,45.083768
12.735732,88,45.253966
20.774809,170,46.144447
30.354637,114,46.364516
27.311681,155,46.66241
5.742454,46,46.752533
27.374227,76,46.897884
76.570581,167,47.225593
44.958094,200,47.643339
39.910092,200,48.038676
46.806512,200,48.450695
50.464223,183,48.80075
67.299162,200,49.194489
31.280454,156,49.500719
44.919942,200,49.878671
2.15067,87,50.060985
68.490504,200,51.094692
11.817915,54,51.203103
97.950519,200,51.587249
94.4534,200,51.974441
77.192226,200,52.359283
130.001669,200,52.743956
108.116683,200,53.13387
73.527852,200,53.539256
83.78709,200,53.931113
100.174344,200,54.315076
104.880385,200,54.700848
60.570915,200,55.64607
55.776697,200,56.021207
62.011068,200,56.40419
116.343098,200,56.795022
63.376159,200,57.173038
46.890356,200,57.55982
75.289596,200,57.940966
47.773336,200,58.315197
94.508635,200,58.69721
74.729005,200,59.081913
170.771868,200,60.032752
113.047786,200,60.42027
136.989656,200,60.811028
81.358981,200,61.191607
98.595067,200,61.575792
120.880895,200,61.95742
108.979862,200,62.335693
135.304504,200,62.73193
90.421448,200,63.112852
115.414315,200,63.492282
138.024142,200,64.434103
139.100076,200,64.81338
117.912245,200,65.191895
154.262363,200,65.591041
121.318167,200,65.971298
92.485598,200,66.343147
162.041422,200,66.725223
111.690989,200,67.106477
96.689308,200,67.485482
105.380881,200,67.86605
146.760983,200,68.804608
148.27494,200,69.179787
139.337716,200,69.560452
133.003122,200,69.932555
102.630112,200,70.308993
120.386868,200,70.68421
136.619823,200,71.061165
181.370082,200,71.44025
88.90896,200,71.822929
117.546685,200,72.198639
126.820948,200,72.582042
105.807481,200,73.508845
179.031676,200,73.925095
182.689666,200,74.322047
161.800359,200,74.732025
173.391775,200,75.134785
163.375613,200,75.540193
161.370596,200,75.933132
145.382287,200,76.317163
178.768258,200,76.697373
106.981431,200,77.073978
181.003844,200,78.072547
165.473538,200,78.449292
128.362869,200,78.829268
162.592173,200,79.206942
145.886151,200,79.586053
144.024048,200,79.963193
143.723944,200,80.339115
168.772283,200,80.722029
160.748634,200,81.10602
130.340689,200,81.486851
169.839665,200,82.449048
111.732712,200,82.829017
133.234763,200,83.204239
154.070531,200,83.585471
150.273609,200,83.974971
179.390746,200,84.349312
171.557315,200,84.727014
142.348503,200,85.104045
165.319998,200,85.482754
130.11656,200,85.873095
150.139285,200,86.796919
178.012077,200,87.191483
157.700323,200,87.571245
175.283053,200,87.947728
163.098693,200,88.326225
150.087712,200,88.698131
194.810315,200,89.083888
190.096338,200,89.460362
195.633315,200,89.834353
159.007743,200,90.224989
162.784013,200,90.610969
173.532234,200,91.528086
160.342789,200,91.90748
210.737942,200,92.284361
132.427037,200,92.661731
165.434618,200,93.051783
174.846147,200,93.427737
162.288682,200,93.807277
164.235213,200,94.18006
190.435244,200,94.555153
202.318404,200,94.92799
163.543483,200,95.849933
186.522379,200,96.236567
154.082469,200,96.617923
202.902642,200,96.996243
187.445731,200,97.374302
165.771886,200,97.757132
188.582986,200,98.136845
143.294319,200,98.517069
171.734855,200,98.89407
143.399138,200,99.283521
162.383785,200,100.188288
186.640939,200,100.566987
174.470229,200,100.946938
194.4143,200,101.320047
111.087465,200,101.704138
174.375424,200,102.088258
166.28525,200,102.46152
181.181949,200,102.837128
181.857476,200,103.212651
154.759291,200,103.595603
162.578221,200,104.508505
173.60485,200,104.890664
199.49316,200,105.284858
209.024608,200,105.662501
208.544539,200,106.039593
202.906517,200,106.41644
202.999365,200,106.795425
208.94001,200,107.176843
166.294197,200,107.552063
198.247448,200,107.943551
198.695314,200,108.33697
194.628893,200,109.387145
190.41145,200,109.828318
173.216388,200,110.208441
197.010578,200,110.586988
191.151854,200,110.966086
164.959526,200,111.357529
194.922431,200,111.734794
171.00219,200,112.112516
214.827372,200,112.485894
176.349387,200,112.865657
195.28625,200,113.763016
137.285087,200,114.141159
167.031696,200,114.522923
181.588773,200,114.898016
190.910538,200,115.273769
208.009844,200,115.654039
212.272429,200,116.034658
177.182298,200,116.408008
186.524394,200,116.786529
206.002066,200,117.165142
197.427895,200,118.199826
206.527703,200,118.587959
202.349011,200,118.962959
221.481832,200,119.344539
221.153253,200,119.774296
159.031666,200,120.199119
190.989881,200,120.644163
171.968558,200,121.066568
201.465047,200,121.484645
202.803587,200,121.888924
204.93169,200,122.817049
189.073125,200,123.208426
199.435561,200,123.632325
201.632803,200,124.012122
219.610321,200,124.407451
221.041886,200,124.788229
207.725805,200,125.164994
193.470608,200,125.550295
204.77116,200,125.928843
192.43792,200,126.310939
213.817913,200,126.708907
194.71708,200,127.704641
186.733605,200,128.088536
203.438487,200,128.469682
189.206942,200,128.852769
194.781154,200,129.234856
211.661185,200,129.648558
178.202069,200,130.027952
207.076303,200,130.411406
201.60859,200,130.796038
219.091338,200,131.173392
218.792624,200,132.131343
215.197925,200,132.533287
206.717283,200,132.912286
185.818953,200,133.28852
206.525073,200,133.673793
199.166622,200,134.054005
210.52255,200,134.434839
207.655287,200,134.822244
209.069921,200,135.207081
204.19177,200,135.613661
205.528274,200,136.565619
214.218077,200,136.951175
215.649368,200,137.335833
218.222024,200,137.716584
199.432149,200,138.105659
201.774429,200,138.494321
212.565843,200,138.888437
196.947921,200,139.271663
209.198668,200,139.652759
216.803111,200,140.03285
198.357796,200,140.984485
222.187982,200,141.371791
208.631343,200,141.765363
213.577205,200,142.148712
181.737618,200,142.533813
179.851869,200,142.918764
192.131579,200,143.297004
216.119624,200,143.681585
213.920633,200,144.063199
190.400208,200,144.450288
221.209578,200,145.430807
196.296931,200,145.816299
221.866368,200,146.199917
219.754827,200,146.580719
195.05721,200,146.967877
