controller,rms_error_rad,mean_abs_error_rad,max_abs_error_rad,peak_torque_Nm,control_effort,max_torque_step_Nm
ComputedTorque_clipped,0.13554514626580208,0.09905824801462505,0.2954745237885588,35.0,4711.662833334508,8.0
Constrained_MPC,0.11167123199115081,0.07175992489743747,0.2654486530254263,35.0,5496.214014425978,8.0
