time_s,desired_position_rad,desired_velocity_rad_s,actual_position_rad,actual_velocity_rad_s,position_error_rad,nominal_feedforward_torque_Nm,mpc_correction_torque_Nm,actual_command_torque_Nm,effective_inertia,dynamic_bias_Nm,solver_time_s,solver_status
0.020000000000000004,-0.48430237011767163,0.7838483595291283,-0.506488813670461,-0.3943560428515093,-0.022186443552789314,20.832197169310167,15.000080467506132,35.83219716931016,2.957026520158094,20.832197169310167,0.006415841000034561,optimal
0.04000000000000002,-0.46866669160892394,0.7792050642919989,-0.5116494225800563,-0.0986722986209348,-0.042982730971132366,17.35974784896831,33.47285918969847,50.83219716931016,2.9831543675774355,17.821926156215348,0.009733859000334633,optimal
0.06000000000000004,-0.4531546713535688,0.7714866026510409,-0.5082581205026285,0.37953283017816575,-0.055103449149059736,18.64212363830154,47.18987355416526,65.8319971924668,3.0239260473151544,19.577264780422404,0.007623200000125507,optimal
0.08000000000000006,-0.43782752820878623,0.7607234358481215,-0.49579687397010985,0.816671522501761,-0.05796934576132362,19.304792670422184,58.37686964673989,77.68166231716208,3.0480574970865706,20.71404639260802,0.008724590999918291,optimal
0.10000000000000007,-0.4227457514062631,0.7469580411853889,-0.4758207289107691,1.14334529055733,-0.053074977504506016,18.208329553567065,44.468873621159624,62.68166231716208,3.0570708021233712,20.08420231162413,0.00912753900001917,optimal
0.12000000000000009,-0.4079688618288304,0.7302447443867661,-0.4505161246516875,1.3652834056335552,-0.04254726282285709,16.48504486270521,31.195344684694803,47.68166231716208,3.0571322501313767,18.816013040784128,0.009100297000259161,optimal
0.1400000000000001,-0.3935551771087318,0.7106495051991383,-0.42187355660180087,1.4867408379106468,-0.02831837949306909,14.821381810624736,17.859652661742512,32.68166231716208,3.0577248778526767,17.598746726893783,0.008071393000136595,optimal
0.16000000000000011,-0.3795615814745711,0.6882496570793656,-0.3918984122655141,1.5091158711054944,-0.012336830790942999,12.934105291330303,4.747212965387468,17.68166231716208,3.058064325457352,16.1468107080226,0.007419957999900362,optimal
0.18000000000000013,-0.36604330125525075,0.66313360199446,-0.3625259279035936,1.436788279604945,0.003517373351657138,10.987945130498034,-8.307511103492955,2.681662317162079,3.058102045822761,14.623048480537953,0.0059295770001881465,optimal
0.20000000000000015,-0.35305368692688166,0.6354004615394073,-0.3356445710166495,1.269539509484999,0.017409115910232142,9.086662111259468,-21.418975917926563,-12.318337682837921,3.057904670272063,13.129516724484011,0.005771991000074195,optimal
0.22000000000000017,-0.34064400256282745,0.6051596857495168,-0.3132229590692148,1.0061601216485707,0.02742104349361263,7.325333583221807,-34.643562067676235,-27.31822848445443,3.057641571157598,11.759837202590885,0.006383399999776884,optimal
0.24000000000000019,-0.3288632235178277,0.5725306211511351,-0.29704944101654795,0.6537810662590766,0.03181378250127975,5.795539193224349,-48.11369636457763,-42.31815717135328,3.05752752478621,10.604359332197943,0.0074466490000304475,optimal
0.2600000000000002,-0.31775784314464706,0.5376420397554302,-0.28691534232510196,0.38338968010234065,0.030842500819545093,4.5774052177899565,-36.987001349479286,-32.40959613168933,3.0575689818028797,9.741799084967141,0.008701909000137675,optimal
0.2800000000000002,-0.30737168930605263,0.5006316308540945,-0.28103198906462235,0.21602538426526963,0.026339700241430286,3.690856242697949,-21.10028976782167,-17.409596131689327,3.057549863744227,9.190342745229316,0.01025043400022696,optimal
0.3000000000000002,-0.297745751406263,0.4616454576226137,-0.2774046894911794,0.14768551226762947,0.020341061915083614,3.0597923379663907,-5.469303535910084,-2.4095961316893266,3.057440780578581,8.872492421382502,0.008988076000150613,optimal
0.32000000000000023,-0.2889180186244962,0.4208373806756445,-0.2743786828861208,0.1503224656920037,0.014539335738375403,2.5832978001101674,6.084852677455653,8.66815047756582,3.057230133860679,8.686047109522544,0.008217328000228008,optimal
